Ano,Núcleos Restantes
0,9000
1,7156
2,5751
3,4659
4,3688
5,2913
6,2281
7,1843
8,1466
9,1169
10,937
11,738
12,588
13,457
14,371
15,290
16,219
17,179
18,151
19,120
20,99
